scheme,pulse_id,type,mask_size,zeros_enforced,spectral_subtraction,mag_mae,phase_mae,unified_mae,mag_diff,phase_diff,unified_diff
shg-frog,0,unmasked,0.0,False,False,0.013452165262473809,0.46621720059924077,0.016508114795766714,0.0,0.0,0.0
shg-frog,0,unmasked,0.0,False,True,0.01778490879745012,0.4929817064533039,0.02080642276310048,0.0,0.0,0.0
shg-frog,0,unmasked,0.0,True,False,0.003827608194362742,0.09459871428213305,0.00501292633556352,0.0,0.0,0.0
shg-frog,0,unmasked,0.0,True,True,0.005408207001801136,0.28042260828730164,0.007643867459159492,0.0,0.0,0.0
shg-frog,0,peak_energy,0.01,False,False,0.013251841648062541,0.9291430113896465,0.01812766001030291,-0.00020032361441126717,0.46292581079040573,0.0016195452145361978
shg-frog,0,peak_energy,0.01,False,True,0.012789264517439948,0.9059200281233271,0.019403344391919663,-0.00499564428001017,0.41293832167002315,-0.0014030783711808173
shg-frog,0,peak_energy,0.05,False,False,0.0030855864457722017,0.2917683769835313,0.0061585417639025905,-0.010366578816701607,-0.17444882361570946,-0.010349573031864123
shg-frog,0,peak_energy,0.05,False,True,0.0040980112082593615,0.3389026153175722,0.007293069575742266,-0.013686897589190757,-0.1540790911357317,-0.013513353187358215
shg-frog,0,peak_energy,0.1,False,False,0.0017713629822937275,0.08375859478524225,0.0027766199056547276,-0.011680802280180081,-0.3824586058139985,-0.013731494890111986
shg-frog,0,peak_energy,0.1,False,True,0.0031453159282746742,0.18445893049714293,0.0052518298229818905,-0.014639592869175443,-0.30852277595616096,-0.01555459294011859
shg-frog,1,unmasked,0.0,False,False,0.00565672114817152,0.09212277396455006,0.006294084441489462,0.0,0.0,0.0
shg-frog,1,unmasked,0.0,False,True,0.012062534293034485,0.2614908320046668,0.013645398561609323,0.0,0.0,0.0
shg-frog,1,unmasked,0.0,True,False,0.00318415923588161,0.1446285729547327,0.004144135719072828,0.0,0.0,0.0
shg-frog,1,unmasked,0.0,True,True,0.005075258299370548,0.26800281954402927,0.006843610806082558,0.0,0.0,0.0
shg-frog,1,peak_energy,0.01,False,False,0.008134409139483828,1.1634820530793415,0.014939886738243834,0.0024776879913123075,1.0713592791147915,0.008645802296754372
shg-frog,1,peak_energy,0.01,False,True,0.007028181301512431,0.7533985134798268,0.012139501470582664,-0.005034352991522054,0.49190768147516,-0.0015058970910266593
