scheme,mask_label,mag_mae,phase_mae,unified_mae
shg-frog,Peak Energy (10%),0.0036897650873965403,1.2228447871505264,0.00560803516240423
shg-frog,Periodic 0.01 @ 0.15,0.02215021319207493,1.5277692645719327,0.0234751134016341
shg-frog,Periodic 0.01 @ 0.227,0.0217560043019802,1.481631970464809,0.02341214241124218
shg-frog,Periodic 0.01 @ 0.303,0.01797260253758674,1.4179471038489966,0.025080322291295094
shg-frog,Periodic 0.01 @ 0.38,0.015233586852780681,1.4298054103831128,0.02470379955771618
shg-frog,Periodic 0.01 @ 0.457,0.014752707551721611,1.3859088752748838,0.02327730757363193
shg-frog,Periodic 0.01 @ 0.533,0.01574163683961121,1.431615474819476,0.023219514217036198
shg-frog,Periodic 0.01 @ 0.61,0.01581719063557968,1.4495398458923794,0.024791524020647958
shg-frog,Periodic 0.01 @ 0.687,0.01888730781089732,1.475130135712136,0.02413861814315205
shg-frog,Periodic 0.01 @ 0.763,0.02073979790247742,1.520047301488014,0.022988467295960418
shg-frog,Periodic 0.01 @ 0.84,0.02248946451414928,1.5049319480057195,0.02339655567855756
shg-frog,Periodic 0.1 @ 0.15,0.02333437952450253,1.4922738224838932,0.02751353629578805
shg-frog,Periodic 0.1 @ 0.217,0.020841497763728338,1.4255230617592984,0.02725818322384322
shg-frog,Periodic 0.1 @ 0.283,0.01714724321743778,1.3790042487344962,0.023505618110195532
shg-frog,Periodic 0.1 @ 0.35,0.0053654468381142805,1.253280622552111,0.00863865019464469
shg-frog,Periodic 0.1 @ 0.417,0.008658079080971659,1.3479991996442482,0.011690244254309031
shg-frog,Periodic 0.1 @ 0.483,0.00815592524067658,1.263379383549517,0.011363581369816621
shg-frog,Periodic 0.1 @ 0.55,0.01004976484992038,1.2578933985628,0.014231273094736069
shg-frog,Periodic 0.1 @ 0.617,0.01824861651664234,1.3791962194996867,0.02493660200318113
shg-frog,Periodic 0.1 @ 0.683,0.02092481560373767,1.467475398762471,0.026253869194148943
shg-frog,Periodic 0.1 @ 0.75,0.02363100993465909,1.4659673354951792,0.02705576002048869
thg-ifrog,Peak Energy (10%),0.00793298705630211,1.3283842460769637,0.01055561415714891
thg-ifrog,Periodic 0.01 @ 0.15,0.02489065509214594,1.4759087351379967,0.027242609099433816
thg-ifrog,Periodic 0.01 @ 0.227,0.02279258071119977,1.4753219171654397,0.02850228043260511
thg-ifrog,Periodic 0.01 @ 0.303,0.01837861999514093,1.4183563159000474,0.026664591486376822
thg-ifrog,Periodic 0.01 @ 0.38,0.015909940224176668,1.3819047588963513,0.0233121044896695
thg-ifrog,Periodic 0.01 @ 0.457,0.017530016132281938,1.3732882390683585,0.02477972193878851
thg-ifrog,Periodic 0.01 @ 0.533,0.01929362813580154,1.4109708589358947,0.0259210212712832
thg-ifrog,Periodic 0.01 @ 0.61,0.01822438117090659,1.4439884052863934,0.02692787764418369
thg-ifrog,Periodic 0.01 @ 0.687,0.0205397995041218,1.453431218563877,0.028106004350991358
thg-ifrog,Periodic 0.01 @ 0.763,0.02377656268393035,1.4756199954051956,0.0280439041867663
thg-ifrog,Periodic 0.01 @ 0.84,0.02472996264226817,1.4720456733575247,0.02752604805764312
thg-ifrog,Periodic 0.1 @ 0.15,0.026037345841860023,1.4111418992288804,0.03012548175991353
thg-ifrog,Periodic 0.1 @ 0.217,0.02351204306883091,1.3554096569049872,0.02924716534372861
thg-ifrog,Periodic 0.1 @ 0.283,0.019749166381944662,1.359829150875567,0.024835130304011223
thg-ifrog,Periodic 0.1 @ 0.35,0.013031149014488269,1.26899503612151,0.017754946373125892
thg-ifrog,Periodic 0.1 @ 0.417,0.0073023444968291105,1.2223681059931766,0.0100543909818213
thg-ifrog,Periodic 0.1 @ 0.483,0.00989260815394219,1.2276243692096256,0.013212620684650109
thg-ifrog,Periodic 0.1 @ 0.55,0.01654433599906652,1.293009610896981,0.02352471593624894
thg-ifrog,Periodic 0.1 @ 0.617,0.02348815656066742,1.3942878168323343,0.03009017165441923
thg-ifrog,Periodic 0.1 @ 0.683,0.025827786623505912,1.3874834951939683,0.031028494990783712
thg-ifrog,Periodic 0.1 @ 0.75,0.02521476767259819,1.3336181773319578,0.028934294354670598
